id,word_vocalized,word_clean,root,pos,fusha_equivalent,definition,region,synonyms,phonetic_variants,note,source,examples,proverbs,tags
184,حَنَّة,حنة,حنن,Noun,رنين صوتي أو رنة,صوت رفيع مستمر يصدر من المعادن أو المحركات، وأحياناً تطلق على أصوات الفرح أو الصياح الجماعي (حنانة).,General,"[""رنة"", ""طنين""]",[],تنطق بفتح الحاء والنون المشددة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 34,"[{""h"": ""السيارة فيها حنة في المكينة."", ""f"": ""السيارة يصدر محركها رنيناً (صوتاً غير طبيعي).""}, {""h"": ""أهل فلان عندهم حنانة اليوم، يمكن عرس."", ""f"": ""بيت آل فلان لديهم أصوات ضجيج وفرح اليوم، ربما لديهم زفاف.""}]",[],"[""Sounds"", ""Daily Life"", ""Sound""]"
185,حفن,حفن,حفن,Noun,راحتا اليدين,راحة اليد عند ضمهما معاً لغرف شيء ما (مثل الحفنة).,General,"[""حفنة""]",[], بكسر الحاء والفاء,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 34,"[{""h"": ""شرب من حفن يده موية."", ""f"": ""شرب الماء براحتي يده.""}, {""h"": ""أعطني حفن من التمر."", ""f"": ""أعطني حفنة من التمر.""}]",[],"[""Body Parts"", ""Daily Life"", ""Hand""]"
186,حَرْفُوف,حرفوف,حرف,Noun,قطعة صغيرة من قرص الخبز,الأجزاء الصغيرة التي تتكسر أو تقطع من قرص الخبز الكبير.,General,"[""فتات"", ""قطعة خبز""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 34,"[{""h"": ""ناولني حرفوف من ذاك القرص الحامي."", ""f"": ""أعطني قطعة صغيرة من ذلك الخبز الساخن.""}, {""h"": ""جمع الحرافيف وحطها في الطاسة."", ""f"": ""جمع قطع الخبز الصغيرة ووضعها في الوعاء.""}]",[],"[""Food"", ""Daily Life"", ""Bread""]"
187,حَد,حد,أحد,Expression,أحد,تستخدم للإشارة إلى شخص ما أو للرقم واحد، وتسقط منها الألف تماماً في النطق الحضرمي.,General,"[""شخص"", ""واحد""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 34,"[{""h"": ""في حد في البيت؟"", ""f"": ""هل يوجد أحد في المنزل؟""}, {""h"": ""ما حد شاف سعيد اليوم."", ""f"": ""لم يرَ أحدٌ سعيد اليوم.""}]",[],"[""Daily Life"", ""Expressions"", ""One""]"
188,الحشك,الحشك,حشك,Noun,أشجار جافة توضع في أساس البناء,أغصان وأشجار جافة توضع بين مداميك البناء اللبن (الموفر) لحماية البيت من التصدع نتيجة الأحمال الثقيلة.,General,"[""ذياذ""]","[""الحكش""]",يسمى 'ذياذ' في بعض مناطق الوادي.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 35,"[{""h"": ""رصوا الحشك بين الموفر والثاني."", ""f"": ""ضعوا الأغصان الجافة بين صفوف اللبن.""}, {""h"": ""الحشك يحمي البيت من نزول الأرضية."", ""f"": ""الأغصان الجافة تحمي المنزل من هبوط التربة.""}]",[],"[""Construction"", ""Tools"", ""Wood""]"
189,الحِكَاء,الحكاء,حكأ,Noun,أول يوم في مراسم العرس,بداية الاحتفالات الرسمية بالزواج، وتكون عادة في بيت أهل العروس.,General,"[""قبوض""]",[],يسمى 'قبوض' في بعض المناطق الأخرى.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 35  ,"[{""h"": ""الليلة الحكاء في بيت آل بافلان."", ""f"": ""الليلة هي أول مراسم العرس في بيت آل فلان.""}, {""h"": ""تجهزوا للحكاء بعد صلاة العشاء."", ""f"": ""استعدوا لبداية مراسم العرس بعد العشاء.""}]",[],"[""Social Customs"", ""Marriage"", ""Wedding""]"
190,حَدْرَى,حدرى,حدر,Noun,الناحية الشرقية من وادي حضرموت,مصطلح جغرافي يشير إلى الاتجاه نحو شرق وادي حضرموت.,Interior,"[""الشرق""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 35,"[{""h"": ""هم ساكنين جهة حدرى من الوادي."", ""f"": ""هم يسكنون في الناحية الشرقية من الوادي.""}, {""h"": ""السيل شلّ الوادي كله حدرى."", ""f"": ""السيل جرف الوادي باتجاه الشرق.""}]",[],"[""Nature"", ""Geographic"", ""East""]"
191,الحِزَام,الحزام,حزم,Noun,حزام فضي للمرأة,قطعة زينة من الذهب أو الفضة تلبسها المرأة الحضرمية حول خصرها في المناسبات.,General,"[""منطق""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 35,"[{""h"": ""العروس لابسة حزام فضة منقوش."", ""f"": ""العروس ترتدي حزاماً فضياً مزخرفاً.""}, {""h"": ""الحزام الحضرمي قديم وغالي."", ""f"": ""الحزام التقليدي الحضرمي قديم وباهظ الثمن.""}]",[],"[""Daily Life"", ""Clothing"", ""Women"", ""Belt""]"
192,الحَوْكَة,الحوكة,حوك,Noun,نسيج العناكب - خيوط العنكبوت,الخيوط التي تنسجها العناكب في أركان الغرف والأسقف.,General,"[""خيوط العنكبوت""]",[],بضم الحاء,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 35,"[{""h"": ""نظف الحوكة من زوايا السقف."", ""f"": ""أزل نسيج العنكبوت من زوايا السقف.""}, {""h"": ""البيت مهجور وفيه حوكة كثيرة."", ""f"": ""المنزل مهجور وفيه الكثير من خيوط العنكبوت.""}]",[],"[""Nature"", ""Daily Life"", ""Spider""]"
193,حمِس,حمس,حمس,Noun,زعل وغضب,مرادف آخر للزعل أو الغضب الشديد والضيق.,General,"[""حنق"", ""زعل""]",[],تنطق بكسر الحاء.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 35,"[{""h"": ""ليش الحمس هذا كله من الصبح؟"", ""f"": ""لماذا كل هذا الغضب والضيق منذ الصباح؟""}, {""h"": ""سعيد حمس لما عرف الخبر."", ""f"": ""سعيد زعل عندما علم بالخبر.""}]",[],"[""Emotions"", ""Angry""]"
194,الحَسَف,الحسف,حسف,Noun,التلف والفساد,تلف الشيء وفساده، خاصة الطعام أو الثمر، ويقال 'يحسف' أي يتلف.,General,"[""تلف"", ""عفن""]",[],بكسر السين,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 35,"[{""h"": ""التمر حاشه الحسف من المطر."", ""f"": ""التمر أصابه التلف بسبب المطر.""}, {""h"": ""الأكل يحسف إذا تركته برع الثلاجة."", ""f"": ""الطعام يفسد إذا تركته خارج الثلاجة.""}]",[],"[""Daily Life"", ""Nature"", ""Rot""]"
195,حِيْلَة,حيله,حيل,Noun,ماء يبقى في حفرة بعد المطر,المياه التي تتبقى في الحفر أو المنخفضات الأرضية بعد هطول الأمطار، وتستخدم لسقي المواشي.,General,"[""غدير""]",[],قد تبقى لعدة أشهر.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 36,"[{""h"": ""الحيوانات تشرب من الحيلة اللي في الشعاب."", ""f"": ""المواشي تشرب من تجمع المياه في الأودية الجبلية.""}, {""h"": ""المطر خلّى حيلات كثيرة في الأرض."", ""f"": ""المطر ترك تجمعات مائية كثيرة في الأرض.""}]",[],"[""Nature"", ""Water"", ""Rain""]"
196,حِصَان السَّكِن,حصان السكن,حصن,Noun,نوع من الجراد طويل الأرجل,حشرة من فصيلة الجراديات تمتاز بسيقان خلفية طويلة جداً، وغالباً ما يكون لونها أخضر.,General,"[""بعركَب السكِن""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 36,"[{""h"": ""شوف حصان السكن ينقز في الحوش."", ""f"": ""انظر إلى الجراد طويل الأرجل يقفز في الفناء.""}, {""h"": ""لا تخاف من حصان السكن ما يقرص."", ""f"": ""لا تخف من هذه الحشرة فهي لا تلدغ.""}]",[],"[""Nature"", ""Insects"", ""Cockroach""]"
197,حَبْوَة,حبوة,حبو,Noun,جلسة ضم الركبتين للبطن,طريقة جلوس عربية تقليدية بضم الساقين إلى البطن وربطهما باليدين أو بشال (عمامة)، وتعتبر جلسة مريحة للراحة والحديث.,General,"[""احتباء""]",[],يستعمل لها أحياناً 'حباك'.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 42,"[{""h"": ""الجد مسوي حبوة في المجلس ويسولف."", ""f"": ""الجد جالس ضاماً ركبتيه في المجلس ويتحدث.""}, {""h"": ""فك الحبوة وقم صلي."", ""f"": ""اترك جلسة الاحتباء وقم للصلاة.""}]",[],"[""Daily Life"", ""Social Customs"", ""Behavior"", ""Sit""]"
198,الحَنْذُول,الحنذول,حنذل,Noun,خنفساء خضراء يتبركون بها,حشرة من نوع الخنافس لونها أخضر لامع، تظهر بعد المطر وكان الناس قديماً يتفاءلون برؤيتها.,General,"[""خنفساء ملونة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 36,"[{""h"": ""لقينا حنذول اليوم، المطر جاب الخير."", ""f"": ""وجدنا خنفساء خضراء اليوم، المطر جلب الخير.""}, {""h"": ""الحنذول يكثر بعد السيل."", ""f"": ""تلك الحشرات تكثر بعد السيول.""}]",[],"[""Nature"", ""Insects"", ""Green Bug""]"
199,حَبْ حَبْ,حب حب,حبب,Noun,البطيخ,فاكهة الصيف المعروفة (البطيخ الأحمر)، ومن أشهرها حبحب منطقة ميفع وحجر.,General,"[""بطيخ""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 36,"[{""h"": ""الحب حب بارد وحالي في هذا الحر."", ""f"": ""البطيخ بارد وحلو المذاق في هذا الحر.""}, {""h"": ""اشتريت حب حب ميفع أحمر دم."", ""f"": ""اشتريت بطيخ ميفع أحمر جداً.""}]",[],"[""Nature"", ""Food"", ""Melon""]"
200,حَطِيْط,حطيط,حطط,Noun,نحيف الجسم,وصف للشخص النحيل جداً أو ضعيف البنية.,General,"[""نحيف"", ""ضعيف""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 36,"[{""h"": ""سعيد حطيط ما يأكل زين."", ""f"": ""سعيد نحيف لا يأكل جيداً.""}, {""h"": ""الولد طالع حطيط لأبوه."", ""f"": ""الولد يشبه والده في نحافته.""}]",[],"[""Human"", ""Description"", ""Thin Person""]"
201,الحجِل,الحجل,حجل,Noun,خلخال فضي خفيف,زينة للقدم تصنع من الفضة وتلبسها النساء، تمتاز بوجود حبات صغيرة (قناقن) تصدر صوتاً عند الحركة.,General,"[""خلخال""]",[],يختلف عن 'حجل' (الأرض الزراعية).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 36,"[{""h"": ""صوت الحجل يطرب في البيت."", ""f"": ""صوت الخلخال جميل في المنزل.""}, {""h"": ""لبست العروس حجل فضة ثقيل."", ""f"": ""ارتدت العروس خلخالاً فضياً ثقيلاً.""}]",[],"[""Daily Life"", ""Clothing"", ""Women""]"
202,الحَمْرَاء,الحمراء,حمر,Noun,نوع من التمر أحمر اللون,صنف من أصناف التمور الحضرمية المشهورة بلونها الأحمر وطعمها اللذيذ.,General,"[""تمر أحمر""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 37,"[{""h"": ""التمر الحمراء طعمه ما يشبع منه."", ""f"": ""التمر الأحمر طعمه لا يُمل.""}, {""h"": ""خرفنا اليوم تمر حمراء كثير."", ""f"": ""جنينا اليوم الكثير من التمر الأحمر.""}]",[],"[""Nature"", ""Food"", ""Agriculture"", ""Red Date""]"
203,الحَاشِدِي,الحاشدي,حشد,Noun,نوع من التمر الجيد,نوع فاخر من أنواع التمور في وادي حضرموت.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 37,"[{""h"": ""قهوة العصر ما تحلى إلا بتمر حاشدي."", ""f"": ""قهوة العصر لا تطيب إلا بتمر حاشدي.""}, {""h"": ""الحاشدي من أغلى أنواع التمر."", ""f"": ""التمر الحاشدي من أغلى الأنواع.""}]",[],"[""Nature"", ""Food"", ""Agriculture"", ""Date""]"
204,الحَجْوَة,الحجوة,حجوي,Noun,دهليز مدخل البيت الشامي,ممر داخلي في البيت الحضرمي (خاصة في تريم وشبام) يفصل بين الباب الخارجي والداخلي، يستخدم لاستقبال الضيوف من النساء أو للتهوية وكملجأ في الطوارئ.,Interior,"[""دهليز"", ""مدخل""]",[],تنطق بكسر الحاء وفتح الواو.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 37,"[{""h"": ""انتظريني في الحجوة حتى يخرج الرجال."", ""f"": ""انتظريني في المدخل الداخلي حتى يغادر الرجال.""}, {""h"": ""الحجوة فيها هواء بارد يرد الروح."", ""f"": ""مدخل البيت فيه هواء بارد ومنعش.""}]",[],"[""Home"", ""Architecture"", ""Door""]"
205,الحَوْض,الحوض,حوض,Noun,الحوض بجانب البئر,حوض مائي صغير يبنى بجوار البئر لتفريغ الماء فيه وسقي الحيوانات أو للوضوء والاستخدامات الأخرى.,General,"[""جابية""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 37,"[{""h"": ""املأ الحوض بالموية للغنم."", ""f"": ""املأ الحوض بالماء للأغنام.""}, {""h"": ""توضأ من الحوض اللي عند البير."", ""f"": ""توضأ من الحوض الموجود بجانب البئر.""}]",[],"[""Water"", ""Agriculture"", ""Daily Life"", ""Bath""]"
206,الحَاشِدِي,الحاشدي,حشد,Noun,نوع من النخيل,نوع مشهور من أنواع النخيل في حضرموت، يمتاز بجودة ثمره وحجمه الكبير وطعمه اللذيذ.,General,[],[],يعد من الأصناف المفضلة في المنطقة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 37,"[{""h"": ""الحاشدي السنة ثمره طيب وقده واجد."", ""f"": ""نخل الحاشدي هذا العام ثمره جيد ووفير.""}]",[],"[""Agriculture"", ""Plants""]"
207,حبابه,حبابه,حبب,Noun,الجدة,لفظ دارج يُطلق على الجدة (أم الأب أو أم الأم) ويحمل دلالة على المحبة والتقدير.,General,"[""جدة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 37,"[{""h"": ""بنسير نزور حبابه اليوم."", ""f"": ""سنذهب لزيارة جدتي اليوم.""}]",[],"[""Family"", ""Daily Life"", ""Grandmother""]"
208,الحَوْمَر,الحومر,حمر,Noun,التمر الهندي,ثمرة التمر الهندي الحامضة، وتستخدم بكثرة في المطبخ الحضرمي لتحضير المرق والوجبات التقليدية.,General,"[""صبار""]","[""الحومرة""]",,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 37,"[{""h"": ""يا ولد رح الدكان وهات لنا حومر عشان المرق."", ""f"": ""يا ولد اذهب إلى المتجر وأحضر لنا تمراً هندياً لأجل المرق.""}, {""h"": ""هذا الحومر حامض بزيادة."", ""f"": ""هذا التمر الهندي شديد الحموضة.""}]",[],"[""Daily Life"", ""Food"", ""Indian Date""]"
209,الحَضَار,الحضار,حضر,Noun,سياج أو تحويطة النخلة,سياج يصنع عادة من سعف النخيل (الجريد) يوضع حول النخلة أو المزرعة لحمايتها من المارّة أو الحيوانات، وللحفاظ على المحصول.,General,"[""تحويطة""]",[],وردت في قائمتك بالظاء 'الحظار' والصواب بالضاد 'الحضار' كما في المعجم.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 37,"[{""h"": ""صلحنا حضار جديد لنخلة السري عشان ما حد يقربها."", ""f"": ""عملنا سياجاً جديداً لنخلة 'السري' لكي لا يقترب منها أحد.""}, {""h"": ""الحضار يمنع الغنم من أكل الزرع."", ""f"": ""السياج يمنع الغنم من أكل الزرع.""}]",[],"[""Agriculture"", ""Plants"", ""Palm Tree""]"
210,الحَرَاوَة,الحراوه,حرو,Noun,مراسم إحضار العروس,مراسم ذهاب المعرس وأهله وأصدقائه إلى بيت العروس لأخذها، وعادة ما تتضمن وليمة غداء في بيت أهل العروس.,General,"[""زفة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 38,"[{""h"": ""اليوم بعد الظهر بتخرج الحراوة من بيت المعرس."", ""f"": ""اليوم بعد الظهر ستنطلق مراسم إحضار العروس من منزل العريس.""}, {""h"": ""تغدينا في حراوة آل فلان وكان الجمع كبير."", ""f"": ""تناولنا الغداء في زفاف آل فلان وكان الحضور كبيراً.""}]",[],"[""Social Customs"", ""Marriage"", ""Wedding""]"
211,الحَالُول,الحالول,حلل,Noun,نواة النبق,البذرة الصلبة الموجودة داخل حبة النبق (الدوم).,General,"[""نواة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 38,"[{""h"": ""لا تبلع الحالول حق الدوم شفه قاسي."", ""f"": ""لا تبتلع نواة النبق فهي صلبة.""}, {""h"": ""العيال يلعبون بالحالول في الشارع."", ""f"": ""الأطفال يلعبون بنوى النبق في الشارع.""}]",[],"[""Nature"", ""Plants""]"
212,الحَرَوِي,الحروي,حرو,Noun,المشارك في الزفاف,الشخص الذي يشارك في موكب 'الحراوة' ويذهب مع العريس لإحضار العروس من بيت أهلها.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 38,"[{""h"": ""كل الشباب في الحارة بيخرجون حرويين مع المعرس."", ""f"": ""كل شباب الحي سيخرجون كمشاركين في الزفاف مع العريس.""}, {""h"": ""الحروي لازم يكون لابس أحسن ما عنده."", ""f"": ""المشارك في الزفاف يجب أن يرتدي أفضل ملابسه.""}]",[],"[""Social Customs"", ""Marriage"", ""Wedding""]"
213,الحَزَر,الحزر,حزر,Noun,وحدة قياس منسوب الماء,وحدة عرفية تستخدم لقياس منسوب وصول ماء السيل في الساقية، مثل قولهم ربع الساقية أو نصفها.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 38,"[{""h"": ""شوف الحزر في الساقية كم وصل اليوم؟"", ""f"": ""انظر إلى مستوى منسوب الماء في الساقية كم بلغ اليوم؟""}]",[],"[""Agriculture"", ""Measurement"", ""Water Level""]"
214,الحَدَج,الحدج,حدج,Noun,الحنظل,نبات بري شديد المرارة، يعرف في الفصحى بالحنظل، ويضرب به المثل في المرارة.,General,"[""حنظل""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 38,"[{""h"": ""هذا الدواء طعمه مر مثل الحدج."", ""f"": ""هذا الدواء طعمه مر مثل الحنظل.""}, {""h"": ""الحدج مالي الوادي بعد المطر."", ""f"": ""الحنظل يملأ الوادي بعد هطول المطر.""}]",[],"[""Nature"", ""Plants""]"
215,الحَجِير,الحجير,حجر,Noun,الزغاريد,أصوات الفرح التي تطلقها النساء في المناسبات، وتعرف بالزغاريد أو 'الصليق'.,General,"[""زغاريد"", ""صليق""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 38,"[{""h"": ""أول ما دخل المعرس الحصن، ارتفع الحجير من كل مكان."", ""f"": ""بمجرد دخول العريس الحصن، ارتعفت الزغاريد من كل مكان.""}, {""h"": ""الحجير يسمع من طرف الشارع."", ""f"": ""صوت الزغاريد يسمع من آخر الشارع.""}]",[],"[""Social Customs"", ""Marriage""]"
216,حَاجَة فَنَّانَة,حاجة فنانة,فنن,Expression,شيء رائع أو جميل,تعبير يستخدم لوصف الشيء الجميل جداً أو المتقن أو اللذيذ.,General,"[""حاجة حلوة""]",[], ينطق الجيم ياء في بعض المناطق ,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 38,"[{""h"": ""الطبخة اليوم حاجة فنانة، تسلم يدك."", ""f"": ""الطبخة اليوم رائعة جداً، سلمت يداك.""}, {""h"": ""هذا الثوب فصلته عند خياط فنان، طلع حايه فنانة."", ""f"": ""هذا الثوب خاطه خياط بارع، فخرج بشكل رائع.""}]",[],"[""Daily Life"", ""Expressions"", ""Beautiful""]"
217,الحَبَر,الحبر,حبر,Noun/Verb,تساقط البلح الأخضر بعد نضجه الجزئي,مرحلة من مراحل نضج البلح الأخضر (الغاسي) حيث يستحيل لونه ويصبح كالتمر ويسقط تلقائياً من النخلة، فيقوم الناس بالتقاطه وأكله.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 38,"[{""h"": ""سرحنا نلقط الحبر من تحت النخل."", ""f"": ""ذهبنا لنلتقط البلح المتساقط من تحت النخيل.""}, {""h"": ""الحبر طعمه حالي ويذوب في الفم."", ""f"": ""البلح المتساقط طعمه حلو ويذوب في الفم.""}]",[],"[""Agriculture"", ""Food"", ""Green Date""]"
218,الحَوَات,الحوات,حوت,Noun,الدود,لفظ يطلقه الحضارم على الدود بمختلف أنواعه.,General,"[""دود""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 38,"[{""h"": ""هذه الثمرة خربانة، فيها حوات."", ""f"": ""هذه الثمرة فاسدة، فيها دود.""}, {""h"": ""انتبه لا يجي الحوات في اللحم إذا خليته برع."", ""f"": ""احذر من أن يغزو الدود اللحم إذا تركته في الخارج.""}]",[],"[""Nature"", ""Insects""]"
219,الحيَوَان,الحيوان,حيي,Noun,الأطفال الصغار,لفظ يطلق أحياناً في بعض مناطق حضرموت للإشارة إلى الأطفال الصغار.,General,"[""زقرة"", ""جهال""]",[],بكسر الحاء,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 39,"[{""h"": ""الحيوان يلعبون في الحوش."", ""f"": ""الأطفال يلعبون في الفناء.""}]",[],"[""Daily Life"", ""People"", ""Children""]"
220,الحَقَب,الحقب,حقب,Noun,خيط البطن,خيط يربط حول البطن، تحديداً عند موضع السرة، وكان يعتقد قديماً أنه يقي من الآلام أو الحسد.,General,[],[],من العادات التقليدية القديمة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 39,"[{""h"": ""الوليد عادهم ربطوا له الحقب."", ""f"": ""المولود الجديد قد ربطوا له خيط البطن للتو.""}, {""h"": ""يقولون الحقب زين لوجع البطن."", ""f"": ""يقولون إن خيط البطن جيد لآلام البطن.""}]",[],"[""Daily Life"", ""Social Customs"", ""Stomach""]"
221,الحَتِي,الحتي,حتي,Noun,مسحوق الدوم المجفف,مسحوق يحضر من ثمار النبق (الدوم) المجفف بعد طحنه، ويؤكل كنوع من المسليات.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 39,"[{""h"": ""زمان كنا نشتري الحتي من المعصرة بقرش."", ""f"": ""قديماً كنا نشتري مسحوق النبق من المعصرة بقرش.""}, {""h"": ""هذا الحتي حالي ومنخول زين."", ""f"": ""هذا مسحوق النبق حلو المذاق ومنخول جيداً.""}]",[],"[""Daily Life"", ""Food""]"
222,الحَتِيكَة,الحتيكة,حتك,Noun,مسحوق غسيل نباتي,مسحوق نباتي كان يستخدم قديماً كبديل للصابون، خاصة للنساء لغسل الشعر والجسم.,General,[],[],كانت تستخدم قبل انتشار المنظفات الكيماوية.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 39,"[{""h"": ""العجايز للحين يحبون يغسلون بالحتيكة."", ""f"": ""النساء المسنات لا يزلن يفضلن الغسل بالمسحوق النباتي القديم.""}, {""h"": ""الحتيكة تخلي الشعر ناعم ونظيف."", ""f"": ""الحتيكة تجعل الشعر ناعماً ونظيفاً.""}]",[],"[""Daily Life"", ""Nature""]"
223,الحَرَو,الحرو,حرو,Noun,جريان السيل,جريان الماء في الوادي أو الساقية نتيجة السيول، ويزيد وينقص حسب قوة المطر.,General,"[""سيل""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 39,"[{""h"": ""الحرو اليوم في الوادي قوي، انتبه لا تقرب الجرب."", ""f"": ""جريان السيل في الوادي اليوم قوي، احذر من الاقتراب من المزارع.""}, {""h"": ""الساقية ممتلية من الحرو اللي جاء ليلة أمس."", ""f"": ""الساقية ممتلئة بفضل جريان السيل الذي حدث ليلة أمس.""}]",[],"[""Agriculture"", ""Nature"", ""River""]"
224,الحَبُوس,الحبوس,حبس,Noun,تميمة جلدية,تميمة تصنع من جلد الغنم، توضع عادة في أعلى ساعد الطفل المولود، ويعتقد أنها تحميه من العين.,General,[],[],معتقد شعبي قديم.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 39,"[{""h"": ""ربطوا للجاهل حبوس في عضده."", ""f"": ""ربطوا للطفل تميمة جلدية في عضده.""}, {""h"": ""الحبوس كان ما يفارق يد الطفل زمان."", ""f"": ""التميمة الجلدية لم تكن تفارق يد الطفل قديماً.""}]",[],"[""Social Customs"", ""Children"", ""Baby""]"
225,حَنَّاق,حناق,حنق,Adjective,سريع الغضب أو الزعل,تطلق على الشخص الذي يغضب بسرعة أو يسهل إغضابه من أقل فعل.,General,"[""زعلول""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 39,"[{""h"": ""لا تمازحه تراه حناق وبزعل عليك."", ""f"": ""لا تمازحه فهو سريع الغضب وسوف يزعل منك.""}, {""h"": ""فلان حناق، أي كلمة تأثر فيه."", ""f"": ""فلان سريع الزعل، أي كلمة تؤثر فيه.""}]",[],"[""Emotions"", ""Personalities"", ""Angry""]"
226,الحِصْن,الحصن,حصن,Noun,حصن أو بناء محصن,بناء عالي وكبير يتميز بالتحصين القوي، ويحتوي داخله على بئر ومصلى ومخازن للطعام، ويستخدم للسكن والدفاع.,General,"[""قصر""]",[],تشتهر حضرموت بحصونها التاريخية المبنية من الطين.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 39,"[{""h"": ""حصن آل فلان شامخ وسط البلاد."", ""f"": ""حصن آل فلان مرتفع في وسط القرية.""}, {""h"": ""دخلنا الحصن وتفرجنا على مخازن التمر القديمة."", ""f"": ""دخلنا الحصن وشاهدنا مخازن التمر القديمة.""}]",[],"[""Architecture"", ""History""]"
227,الحَشَف,الحشف,حشف,Noun,التمر اليابس الرديء,التمر الذي جف بطريقة غير جيدة فأصبح يابساً ورديئاً.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 40,"[{""h"": ""هذا التمر كله حشف، ما يصلح للضيوف."", ""f"": ""هذا التمر كله يابس ورديء، لا يصلح للضيوف.""}, {""h"": ""الظاهر إن النخلة عطشت وطلع ثمرها حشف."", ""f"": ""يبدو أن النخلة عطشت فخرج ثمرها يابساً.""}]","[""الحشف ما يلتقين""]","[""Agriculture"", ""Food""]"
228,الحَبْل,الحبل,حبل,Noun,صف حجارة في الأساس,صف من الحجارة بارتفاع معين (حوالي نصف متر) يوضع في أساس البيت لحمايته من رطوبة الأرض ومياه الأمطار، ثم يبنى فوقه بالمدر (الطين).,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 40,"[{""h"": ""البناء رص الحبل حق الساس اليوم."", ""f"": ""البناء وضع صف الحجارة لأساس البيت اليوم.""}, {""h"": ""لازم الحبل يكون قوي عشان الدار ما تهبط."", ""f"": ""يجب أن يكون صف حجارة الأساس قوياً لكي لا يهبط البيت.""}]",[],"[""Construction"", ""Wall""]"
229,الحِرَّة,الحره,حرر,Noun,فتحة تصريف الماء,مدخل يبنى من الحجر والنورة للتحكم في دخول الماء من الساقية إلى المزرعة (الجرب).,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 40,"[{""h"": ""افتح الحرة عشان السيل يدخل الجرب."", ""f"": ""افتح فتحة التصريف ليدخل ماء السيل إلى المزرعة.""}]",[],"[""Agriculture"", ""Water""]"
230,الحِنَّا,الحنا,حني,Noun,ليلة الحناء,تطلق على ليلة العرس التي يتم فيها وضع الحناء للعريس أو العروس، وهي ليلة فرح واحتفال.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 40,"[{""h"": ""بكرة ليلة الحنا حق فلان، الكل معزوم."", ""f"": ""غداً ليلة الحناء لفلان، والجميع مدعو.""}, {""h"": ""الحنا الحضرميه لها طقوس خاصة وجميلة."", ""f"": ""ليلة الحناء الحضرمية لها طقوس خاصة وجميلة.""}]",[],"[""Social Customs"", ""Marriage"", ""Night""]"
